"","","","","","","","","","","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","% of FGA by Distance","","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","FG% by Distance","","% of FG Ast'd","% of FG Ast'd","","Dunks","Dunks","","Corner 3s","Corner 3s","","Heaves","Heaves"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"466","Terry Taylor","PF","23","CHI","5","36",".900","5.0",NA,".900",".600",".300",".000",".000",".100",NA,".889","1.000",".667","","","1.000",NA,".875","1.000",NA,".100","1",NA,".000","",NA,"0","0"
"467","Garrett Temple","SG","36","NOP","25","162",".400","17.3",NA,".422",".311",".022",".044",".044",".578",NA,".368",".500",".000",".000",".000",".423",NA,".429","1.000",NA,".000","0",NA,".231",".333",NA,"1","0"
"468","Dalen Terry","SG","20","CHI","38","214",".444","11.6",NA,".625",".431",".139",".000",".056",".375",NA,".556",".581",".500","",".500",".259",NA,".320",".714",NA,".042","1",NA,".444",".250",NA,"0","0"
"469","Daniel Theis","C","30","IND","7","109",".477","10.4",NA,".750",".409",".205",".136",".000",".250",NA,".576",".611",".667",".333","",".182",NA,".947","1.000",NA,".136","6",NA,".182",".500",NA,"1","0"
"470","Cam Thomas","SG","21","BRK","57","948",".441","14.6",NA,".708",".125",".226",".228",".129",".292",NA,".464",".684",".466",".346",".458",".383",NA,".327",".451",NA,".011","5",NA,".105",".500",NA,"0","0"
"471","Klay Thompson","SF","32","GSW","69","2279",".436","19.6",NA,".416",".058",".123",".114",".121",".584",NA,".470",".694",".513",".378",".408",".412",NA,".727",".890",NA,".011","11",NA,".170",".403",NA,"0","0"
"472","JT Thor","PF","20","CHO","69","969",".399","15.8",NA,".483",".193",".164",".088",".038",".517",NA,".487",".565",".487",".381",".333",".317",NA,".679",".974",NA,".050","11",NA,".553",".382",NA,"0","0"
"473","Matisse Thybulle","SF-SG","25","TOT","71","1200",".435","15.5",NA,".415",".265",".138",".012",".000",".585",NA,".533",".642",".343",".333","",".365",NA,".768",".963",NA,".091","21",NA,".486",".375",NA,"1","0"
"473","Matisse Thybulle","SF","25","PHI","49","591",".431","14.9",NA,".457",".293",".155",".009",".000",".543",NA,".547",".647",".389",".000","",".333",NA,".759","1.000",NA,".095","9",NA,".508",".313",NA,"1","0"
"473","Matisse Thybulle","SG","25","POR","22","609",".438","16.0",NA,".380",".241",".124",".015",".000",".620",NA,".519",".636",".294",".500","",".388",NA,".778",".939",NA,".088","12",NA,".471",".425",NA,"0","0"
"474","Xavier Tillman Sr.","C","24","MEM","61","1180",".614","5.5",NA,".951",".516",".310",".111",".013",".049",NA,".632",".753",".516",".441",".250",".267",NA,".712","1.000",NA,".095","24",NA,".533",".125",NA,"0","0"
"475","Isaiah Todd","PF","21","WAS","6","61",".158","17.1",NA,".474",".053",".368",".000",".053",".526",NA,".222",".000",".286","",".000",".100",NA,"1.000","1.000",NA,".053","0",NA,".200",".000",NA,"0","0"
"476","Obi Toppin","PF","24","NYK","67","1050",".446","16.0",NA,".411",".289",".095",".019",".007",".589",NA,".593",".736",".250",".125",".667",".344",NA,".863",".965",NA,".148","52",NA,".470",".353",NA,"2","0"
"477","Juan Toscano-Anderson","SF","29","TOT","52","700",".448","11.2",NA,".699",".294",".308",".063",".035",".301",NA,".560",".667",".500",".333",".600",".186",NA,".661","1.000",NA,".035","4",NA,".465",".200",NA,"1","0"
"477","Juan Toscano-Anderson","SF","29","LAL","30","365",".500","11.1",NA,".697",".333",".288",".030",".045",".303",NA,".630",".864",".421",".000",".667",".200",NA,".793","1.000",NA,".030","2",NA,".350",".286",NA,"0","0"
"477","Juan Toscano-Anderson","SF","29","UTA","22","335",".403","11.3",NA,".701",".260",".325",".091",".026",".299",NA,".500",".450",".560",".429",".500",".174",NA,".519","1.000",NA,".039","2",NA,".565",".154",NA,"1","0"
"478","Karl-Anthony Towns","PF","27","MIN","29","957",".495","14.0",NA,".617",".201",".292",".056",".068",".383",NA,".576",".791",".480",".333",".552",".366",NA,".599",".967",NA,".044","17",NA,".104",".176",NA,"0","0"
"479","Gary Trent Jr.","SG","24","TOR","66","2118",".433","17.6",NA,".519",".116",".128",".118",".150",".481",NA,".493",".704",".475",".455",".364",".369",NA,".494",".855",NA,".024","20",NA,".176",".291",NA,"0","0"
"480","P.J. Tucker","PF","37","PHI","75","1920",".427","16.5",NA,".378",".173",".151",".036",".018",".622",NA,".482",".487",".441",".500",".750",".393",NA,".732",".982",NA,".000","0",NA,".914",".398",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"481","Myles Turner","C","26","IND","62","1825",".548","12.2",NA,".660",".302",".251",".071",".029",".340",NA,".638",".778",".516",".615",".286",".373",NA,".767",".968",NA,".095","67",NA,".096",".458",NA,"0","0"
"482","Stanley Umude","SG","23","DET","1","2",".000","24.8",NA,".000",".000",".000",".000",".000","1.000",NA,"","","","","",".000",NA,"","",NA,".000","0",NA,"1.000",".000",NA,"0","0"
"483","Jonas Valančiūnas","C","30","NOP","79","1968",".547","8.1",NA,".866",".357",".325",".134",".039",".134",NA,".577",".725",".494",".440",".313",".349",NA,".569",".974",NA,".086","67",NA,".046",".200",NA,"0","0"
"484","Jarred Vanderbilt","PF","23","TOT","78","1879",".548","7.7",NA,".800",".479",".282",".031",".009",".200",NA,".604",".718",".449",".214",".750",".322",NA,".679","1.000",NA,".213","90",NA,".878",".354",NA,"0","0"
"484","Jarred Vanderbilt","PF","23","UTA","52","1254",".556","7.8",NA,".817",".447",".318",".042",".010",".183",NA,".606",".755",".444",".231",".667",".333",NA,".682","1.000",NA,".206","61",NA,".895",".373",NA,"0","0"
"484","Jarred Vanderbilt","PF","23","LAL","26","625",".529","7.4",NA,".764",".550",".200",".007",".007",".236",NA,".598",".649",".464",".000","1.000",".303",NA,".672","1.000",NA,".229","29",NA,".848",".321",NA,"0","0"
"485","Fred VanVleet","PG","28","TOR","69","2535",".393","18.4",NA,".455",".120",".144",".088",".101",".545",NA,".455",".586",".375",".398",".455",".342",NA,".187",".585",NA,".000","0",NA,".119",".431",NA,"6","0"
"486","Devin Vassell","SG","22","SAS","38","1178",".439","17.6",NA,".553",".141",".081",".176",".155",".447",NA,".480",".643",".333",".410",".489",".387",NA,".456",".883",NA,".035","17",NA,".165",".477",NA,"3","0"
"487","Gabe Vincent","PG","26","MIA","68","1759",".402","18.7",NA,".383",".093",".138",".088",".062",".617",NA,".512",".547",".462",".440",".657",".334",NA,".423",".718",NA,".002","1",NA,".323",".381",NA,"0","0"
"488","Noah Vonleh","C","27","BOS","23","171",".458","6.8",NA,".833",".458",".292",".083",".000",".167",NA,".500",".727",".143",".500","",".250",NA,".200","1.000",NA,".208","5",NA,".750",".333",NA,"0","0"
"489","Nikola Vučević","C","32","CHI","82","2746",".520","12.8",NA,".698",".235",".258",".126",".078",".302",NA,".594",".704",".601",".462",".456",".349",NA,".735","1.000",NA,".039","37",NA,".124",".465",NA,"0","0"
"490","Dean Wade","PF","26","CLE","44","891",".412","19.0",NA,".282",".164",".062",".045",".011",".718",NA,".560",".759",".364",".250",".000",".354",NA,".821","1.000",NA,".040","6",NA,".409",".404",NA,"0","0"
"491","Franz Wagner","SF","21","ORL","80","2609",".485","12.0",NA,".678",".270",".311",".063",".034",".322",NA,".544",".728",".420",".414",".447",".361",NA,".464",".800",NA,".030","29",NA,".172",".435",NA,"4","0"
"492","Moritz Wagner","C","25","ORL","57","1109",".500","12.2",NA,".588",".379",".189",".008",".013",".412",NA,".631",".733",".453",".333",".400",".313",NA,".782",".980",NA,".134","42",NA,".178",".310",NA,"0","0"
"493","Ish Wainright","SF","28","PHO","60","915",".370","19.8",NA,".238",".150",".075",".009",".004",".762",NA,".500",".529",".471",".500",".000",".329",NA,".519",".982",NA,".026","3",NA,".514",".337",NA,"2","0"
"494","Jabari Walker","SF","20","POR","56","619",".419","10.5",NA,".717",".404",".197",".071",".045",".283",NA,".472",".600",".256",".357",".444",".286",NA,".716",".938",NA,".116","19",NA,".232",".154",NA,"0","0"
"495","Kemba Walker","PG","32","DAL","9","144",".421","16.5",NA,".509",".211",".123",".088",".088",".491",NA,".586",".583",".571",".600",".600",".250",NA,".176",".429",NA,".000","0",NA,".071",".000",NA,"0","0"
"496","Lonnie Walker IV","SG","24","LAL","56","1297",".448","15.7",NA,".528",".195",".188",".055",".089",".472",NA,".522",".699",".404",".345",".489",".365",NA,".572",".923",NA,".055","24",NA,".273",".412",NA,"2","0"
"497","John Wall","PG","32","LAC","34","755",".408","14.5",NA,".678",".213",".216",".080",".169",".322",NA,".459",".597",".466",".370",".316",".303",NA,".143",".939",NA,".012","4",NA,".101",".273",NA,"0","0"
"498","T.J. Warren","PF-SF","29","TOT","42","687",".489","13.0",NA,".752",".156",".252",".237",".107",".248",NA,".542",".714",".471",".484",".586",".328",NA,".664",".955",NA,".019","5",NA,".403",".296",NA,"0","0"
"498","T.J. Warren","PF","29","BRK","26","490",".510","12.9",NA,".760",".150",".250",".255",".105",".240",NA,".566",".833",".440",".529",".571",".333",NA,".663",".938",NA,".020","4",NA,".354",".235",NA,"0","0"
"498","T.J. Warren","SF","29","PHO","16","197",".429","13.3",NA,".729",".171",".257",".186",".114",".271",NA,".471",".417",".556",".308",".625",".316",NA,".667","1.000",NA,".014","1",NA,".526",".400",NA,"0","0"
"499","Duane Washington Jr.","SG","22","PHO","31","394",".367","16.8",NA,".566",".117",".199",".133",".117",".434",NA,".372",".467",".333",".353",".367",".360",NA,".222",".625",NA,".000","0",NA,".189",".333",NA,"2","0"
"500","P.J. Washington","PF","24","CHO","73","2380",".444","14.8",NA,".562",".198",".242",".060",".061",".438",NA,".518",".691",".451",".424",".317",".348",NA,".740",".919",NA,".050","45",NA,".220",".351",NA,"1","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"501","TyTy Washington Jr.","PG","21","HOU","31","433",".363","17.5",NA,".500",".056",".213",".181",".050",".500",NA,".488",".444",".500",".517",".375",".238",NA,".436",".789",NA,".000","0",NA,".238",".316",NA,"0","0"
"502","Yuta Watanabe","SF","28","BRK","58","928",".491","16.4",NA,".418",".224",".138",".017",".039",".582",NA,".557",".769",".281",".250",".444",".444",NA,".722","1.000",NA,".060","13",NA,".533",".514",NA,"1","0"
"503","Lindy Waters III","SG","25","OKC","41","531",".393","23.8",NA,".090",".062",".011",".011",".006",".910",NA,".750",".727",".500","1.000","1.000",".358",NA,".583",".931",NA,".000","0",NA,".185",".500",NA,"1","0"
"504","Trendon Watford","PF","22","POR","62","1182",".560","8.8",NA,".802",".344",".347",".080",".012",".198",NA,".602",".676",".545",".462",".500",".391",NA,".609","1.000",NA,".019","5",NA,".125",".250",NA,"0","0"
"505","Peyton Watson","SG","20","DEN","23","186",".492","9.3",NA,".763",".305",".390",".068",".000",".237",NA,".511",".722",".348",".500","",".429",NA,".652","1.000",NA,".119","6",NA,".429",".500",NA,"0","0"
"506","Blake Wesley","SG","19","SAS","37","669",".321","11.8",NA,".758",".279",".233",".126",".121",".242",NA,".301",".517",".140",".222",".192",".385",NA,".306",".950",NA,".065","12",NA,".269",".500",NA,"1","0"
"507","Russell Westbrook","PG","34","TOT","73","2126",".436","11.8",NA,".711",".305",".229",".103",".075",".289",NA,".487",".632",".379",".461",".257",".311",NA,".230",".663",NA,".023","19",NA,".227",".231",NA,"1","0"
"507","Russell Westbrook","PG","34","LAL","52","1491",".417","11.7",NA,".708",".310",".230",".096",".071",".292",NA,".467",".624",".333",".414",".288",".296",NA,".203",".635",NA,".018","11",NA,".174",".243",NA,"1","0"
"507","Russell Westbrook","PG","34","LAC","21","635",".489","11.8",NA,".721",".290",".225",".122",".084",".279",NA,".540",".658",".508",".563",".182",".356",NA,".294",".731",NA,".038","8",NA,".384",".214",NA,"0","0"
"508","Coby White","SG","22","CHI","74","1730",".443","17.8",NA,".421",".200",".096",".072",".052",".579",NA,".540",".672",".386",".465",".419",".372",NA,".348",".961",NA,".008","4",NA,".148",".412",NA,"1","0"
"509","Derrick White","SG","28","BOS","82","2319",".462","15.9",NA,".484",".156",".214",".079",".024",".516",NA,".548",".720",".469",".517",".333",".381",NA,".502",".886",NA,".018","11",NA,".284",".387",NA,"0","0"
"510","Jack White","SF","25","DEN","17","66",".421","12.8",NA,".526",".316",".211",".000",".000",".474",NA,".500",".500",".500","","",".333",NA,".400","1.000",NA,".105","2",NA,".667",".333",NA,"0","0"
"511","Joe Wieskamp","SF","23","TOR","9","50",".214","20.9",NA,".143",".143",".000",".000",".000",".857",NA,".000",".000","","","",".250",NA,"","1.000",NA,".000","0",NA,".583",".286",NA,"0","0"
"512","Aaron Wiggins","SG","24","OKC","70","1297",".512","10.6",NA,".664",".383",".264",".014",".003",".336",NA,".573",".705",".396",".400",".000",".393",NA,".696",".958",NA,".055","18",NA,".459",".286",NA,"1","0"
"513","Andrew Wiggins","SF","27","GSW","37","1190",".473","15.4",NA,".575",".157",".244",".070",".104",".425",NA,".530",".711",".504",".378",".418",".396",NA,".621",".955",NA,".055","25",NA,".200",".356",NA,"0","0"
"514","Lindell Wigginton","PG","24","MIL","7","87",".486","16.1",NA,".514",".189",".189",".054",".081",".486",NA,".632",".857",".429",".500",".667",".333",NA,".083","1.000",NA,".000","0",NA,".111",".500",NA,"0","0"
"515","Alondes Williams","SG","23","BRK","1","5","","",NA,"","","","","","",NA,"","","","","","",NA,"","",NA,"","0",NA,"","",NA,"0","0"
"516","Donovan Williams","SG","21","ATL","2","4",".400","12.1",NA,".600",".200",".400",".000",".000",".400",NA,".667","1.000",".500","","",".000",NA,".500","",NA,".000","0",NA,".500",".000",NA,"0","0"
"517","Grant Williams","PF","24","BOS","79","2045",".454","17.2",NA,".389",".137",".197",".046",".006",".611",NA,".546",".738",".468",".364",".333",".395",NA,".594",".922",NA,".032","15",NA,".416",".421",NA,"2","0"
"518","Jalen Williams","SG","21","OKC","75","2276",".521","10.4",NA,".742",".377",".246",".073",".047",".258",NA,".579",".726",".436",".448",".351",".356",NA,".416",".904",NA,".106","77",NA,".146",".367",NA,"2","0"
"519","Jaylin Williams","C","20","OKC","49","914",".436","16.2",NA,".517",".192",".150",".107",".068",".483",NA,".463",".667",".200",".320",".688",".407",NA,".839",".957",NA,".047","8",NA,".159",".556",NA,"0","0"
"520","Jeenathan Williams","SG","23","POR","5","127",".615","7.2",NA,".795",".615",".154",".000",".026",".205",NA,".677",".792",".333","",".000",".375",NA,".667","1.000",NA,".154","6",NA,".500",".500",NA,"0","0"
"Rk","Player","Pos","Age","Tm","G","MP","FG%","Dist.",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","0-3","3-10","10-16","16-3P","3P",NA,"2P","3P",NA,"%FGA","#",NA,"%3PA","3P%",NA,"Att.","#"
"521","Kenrich Williams","PF","28","OKC","53","1206",".517","13.4",NA,".613",".318",".142",".090",".064",".387",NA,".608",".718",".510",".452",".500",".373",NA,".659","1.000",NA,".066","21",NA,".343",".413",NA,"0","0"
"522","Mark Williams","C","21","CHO","43","828",".637","3.1",NA,"1.000",".673",".267",".048",".012",".000",NA,".637",".751",".388",".417",".667","",NA,".681","",NA,".303","71",NA,"","",NA,"0","0"
"523","Patrick Williams","PF","21","CHI","82","2323",".464","14.6",NA,".591",".258",".112",".120",".100",".409",NA,".498",".640",".316",".432",".412",".415",NA,".633",".983",NA,".118","59",NA,".390",".463",NA,"0","0"
"524","Robert Williams","C","25","BOS","35","824",".747","3.0",NA,".994",".682",".276",".024",".012",".006",NA,".751",".879",".489",".500",".000",".000",NA,".685","",NA,".341","56",NA,"1.000",".000",NA,"0","0"
"525","Vince Williams Jr.","SG","22","MEM","15","105",".300","17.8",NA,".300",".250",".050",".000",".000",".700",NA,".667",".700",".500","","",".143",NA,".750","1.000",NA,".000","0",NA,".393",".091",NA,"0","0"
"526","Ziaire Williams","SF","21","MEM","37","561",".429","15.6",NA,".505",".250",".107",".102",".046",".495",NA,".596",".776",".381",".500",".333",".258",NA,".780",".880",NA,".128","21",NA,".433",".286",NA,"1","1"
"527","Zion Williamson","PF","22","NOP","29","956",".608","4.1",NA,".959",".618",".307",".026",".009",".041",NA,".618",".721",".438",".500",".000",".368",NA,".457",".857",NA,".113","42",NA,".000","",NA,"0","0"
"528","Dylan Windler","SF","26","CLE","3","10",".667","17.4",NA,".333",".333",".000",".000",".000",".667",NA,"1.000","1.000","","","",".500",NA,"1.000","1.000",NA,".000","0",NA,".500","1.000",NA,"0","0"
"529","Justise Winslow","PF","26","POR","29","776",".409","9.8",NA,".773",".348",".288",".106",".030",".227",NA,".438",".551",".386",".286",".167",".311",NA,".567","1.000",NA,".020","3",NA,".444",".300",NA,"0","0"
"530","James Wiseman","C","21","TOT","45","867",".558","6.4",NA,".941",".366",".407",".086",".056",".059",NA,".580",".742",".536",".310",".263",".200",NA,".697","1.000",NA,".239","72",NA,".050",".000",NA,"0","0"
"530","James Wiseman","C","21","GSW","21","262",".628","5.9",NA,".979",".415",".372",".128",".064",".021",NA,".630",".795",".629",".250",".333",".500",NA,".810","1.000",NA,".383","30",NA,".000","",NA,"0","0"
"530","James Wiseman","C","21","DET","24","605",".531","6.6",NA,".927",".347",".420",".069",".053",".073",NA,".559",".718",".505",".353",".231",".167",NA,".646","1.000",NA,".184","42",NA,".056",".000",NA,"0","0"
"531","Christian Wood","C","27","DAL","67","1738",".515","12.8",NA,".637",".304",".208",".062",".062",".363",NA,".594",".697",".569",".417",".354",".376",NA,".615",".971",NA,".124","86",NA,".165",".326",NA,"2","0"
"532","Delon Wright","PG","30","WAS","50","1221",".474","14.4",NA,".591",".196",".299",".062",".034",".409",NA,".564",".842",".391",".444",".700",".345",NA,".268",".854",NA,".014","4",NA,".244",".345",NA,"4","0"
"533","McKinley Wright IV","PG","24","DAL","27","335",".469","12.7",NA,".714",".224",".265",".153",".071",".286",NA,".529",".591",".615",".400",".286",".321",NA,".297",".889",NA,".000","0",NA,".250",".286",NA,"1","0"
"534","Gabe York","SG","29","IND","3","56",".381","22.0",NA,".143",".143",".000",".000",".000",".857",NA,".667",".667","","","",".333",NA,".500","1.000",NA,".000","0",NA,".278",".600",NA,"0","0"
"535","Thaddeus Young","PF","34","TOR","54","795",".545","7.9",NA,".828",".364",".409",".040",".015",".172",NA,".622",".806",".494",".250",".667",".176",NA,".549","1.000",NA,".051","10",NA,".706",".208",NA,"1","0"
"536","Trae Young","PG","24","ATL","73","2541",".429","14.9",NA,".669",".155",".243",".147",".114",".331",NA,".476",".546",".426",".527",".409",".335",NA,".167",".318",NA,".000","0",NA,".050",".304",NA,"2","0"
"537","Omer Yurtseven","C","24","MIA","9","83",".593","10.3",NA,".741",".222",".444",".074",".000",".259",NA,".650",".667",".667",".500","",".429",NA,".692","1.000",NA,".074","1",NA,".571",".500",NA,"0","0"
"538","Cody Zeller","C","30","MIA","15","217",".627","4.4",NA,".966",".576",".237",".051",".034",".034",NA,".649",".735",".571","1.000",".000",".000",NA,".838","",NA,".153","8",NA,".500",".000",NA,"0","0"
"539","Ivica Zubac","C","25","LAC","76","2170",".634","3.3",NA,".996",".593",".377",".021",".004",".004",NA,".637",".702",".546",".455",".500",".000",NA,".733","",NA,".286","130",NA,".000","",NA,"1","0"
